"PERIOD_REF";"PERIOD_COMP";"REGION";"INDICATORS";"UNIT_MES";"VALUE";"STATUS";"STATUS_1"
"2019";;"SZ";"Ind_01_12";"UM_4";6.926434013;"A";
"2019";;"SZ";"Ind_01_13";"UM_5";69.332;"A";
"2019";;"SZ";"Ind_01_14";"UM_6";2.275139907;"A";
"2019";;"SZ";"Ind_02_01";"UM_2";88.31580903;"A";
"2019";;"SZ";"Ind_02_02";"UM_2";1.882221809;"A";
"2019";;"SZ";"Ind_02_03";"UM_2";3.498420955;"A";
"2019";;"SZ";"Ind_02_04";"UM_2";0.275741839;"U";
"2019";;"SZ";"Ind_02_05";"UM_2";6.342188371;"A";
"2019";;"SZ";"Ind_03_01";"UM_2";56.51866989;"A";
"2019";;"SZ";"Ind_03_02";"UM_2";11.30596322;"A";
"2019";;"SZ";"Ind_03_03";"UM_2";21.8227754;"A";
"2004/2009";;"SZ";"Ind_04_01";"UM_7";908.03;"A";
"2004/2009";;"SZ";"Ind_04_02";"UM_2";6.060372455;"A";
"1979/1985";"2004/2009";"SZ";"Ind_04_03";"UM_2";31.46953405;"A";
"2004/2009";;"SZ";"Ind_04_04";"UM_2";40.54381463;"A";
"1979/1985";"2004/2009";"SZ";"Ind_04_05";"UM_2";-3.500956474;"A";
"2004/2009";;"SZ";"Ind_04_06";"UM_2";33.73677081;"A";
